# For help see "Slots Data File" topic in README.md

2023-08-29 12:00 | 2023-08-29 13:00 | aaa
2023-08-29 13:00 | 2023-08-29 14:00 |
2023-08-29 14:00 | 2023-08-29 15:00 | ccc
2023-08-29 15:00 | 2023-08-29 16:00 |
2023-08-29 16:00 | 2023-08-29 17:00 | eee
2023-08-29 17:00 | 2023-08-29 18:00 | fff
2023-08-29 18:00 | 2023-08-29 19:00 |
2023-08-29 20:00 | 2023-08-29 21:00 | hhh
2023-08-29 22:00 | 2023-08-29 23:00 |
2023-08-29 23:00 | 2023-08-30 00:00 |
2023-08-30 00:00 | 2023-08-30 01:00 |
2023-08-30 01:00 | 2023-08-30 02:00 | lll
2024-03-13 12:00 | 2024-03-14 06:00 | DJ Special|Name
2026-05-01 00:00 | 2026-05-02 00:00 |
